city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
san pedro,14.35,121.02,82.69,74.0,20.0,6.93,PH,1587842283.0
porto novo,6.5,2.6,84.2,83.0,40.0,14.99,BJ,1587842283.0
hobyo,5.35,48.53,83.62,76.0,96.0,14.52,SO,1587842284.0
alice town,25.72,-79.3,82.02,79.0,100.0,11.23,BS,1587842284.0
puerto narino,-3.77,-70.38,89.6,70.0,40.0,3.36,CO,1587842108.0
konskie,51.19,20.41,46.65,66.0,71.0,11.81,PL,1587842284.0
dong hoi,17.48,106.6,69.37,89.0,100.0,5.28,VN,1587842284.0
tiquisate,14.28,-91.37,95.0,53.0,75.0,9.17,GT,1587842149.0
kahului,20.89,-156.47,75.33,57.0,20.0,14.99,US,1587842285.0
kavaratti,10.57,72.64,85.51,71.0,61.0,9.37,IN,1587842285.0
shelburne,44.08,-80.2,57.67,18.0,1.0,4.7,CA,1587842285.0
kamenka,51.32,42.77,55.99,46.0,100.0,8.99,RU,1587842285.0
walvis bay,-22.96,14.51,57.56,93.0,32.0,2.24,NA,1587842285.0
sturgis,41.8,-85.42,45.59,100.0,90.0,11.41,US,1587842173.0
san policarpo,12.18,125.51,82.11,82.0,36.0,12.97,PH,1587842286.0
taltal,-25.4,-70.48,71.13,54.0,1.0,6.89,CL,1587842286.0
porbandar,21.64,69.61,80.6,88.0,2.0,12.71,IN,1587842286.0
hanzhong,33.07,107.03,56.3,55.0,50.0,3.67,CN,1587842286.0
lodja,-3.48,23.43,77.59,68.0,95.0,3.33,CD,1587842287.0
luau,-10.71,22.22,66.79,51.0,27.0,1.14,AO,1587842287.0
tecoanapa,16.52,-98.75,89.38,40.0,93.0,8.25,MX,1587842287.0
burnie,-41.07,145.92,55.49,94.0,100.0,5.99,AU,1587842287.0
ostersund,63.18,14.64,37.4,59.0,34.0,16.11,SE,1587842287.0
marsh harbour,26.54,-77.06,83.19,70.0,100.0,15.26,BS,1587842288.0
russell,32.35,-85.2,81.54,47.0,1.0,12.75,US,1587842005.0
dakar,14.69,-17.44,71.6,78.0,57.0,13.87,SN,1587842288.0
pandan,14.05,124.17,82.27,80.0,1.0,13.33,PH,1587842288.0
daoukro,7.06,-3.96,86.41,59.0,97.0,2.42,CI,1587842288.0
rusape,-18.53,32.13,60.49,41.0,63.0,4.23,ZW,1587842289.0
mbandaka,0.05,18.26,82.29,59.0,43.0,1.81,CD,1587842289.0
joshimath,30.57,79.57,49.35,23.0,71.0,4.34,IN,1587842289.0
port hardy,50.7,-127.42,51.8,76.0,90.0,11.41,CA,1587842289.0
aguas formosas,-17.08,-40.94,73.9,75.0,93.0,3.65,BR,1587842289.0
la ronge,55.1,-105.28,53.6,50.0,20.0,11.41,CA,1587842289.0
shizunai,42.33,142.37,45.14,85.0,100.0,11.52,JP,1587842290.0
qaqortoq,60.72,-46.03,33.8,86.0,90.0,5.82,GL,1587842290.0
mandera,3.94,41.87,87.73,48.0,63.0,7.92,KE,1587842290.0
kapitanivka,48.92,31.72,54.9,67.0,100.0,11.3,UA,1587842290.0
khandyga,62.67,135.6,21.25,95.0,1.0,1.48,RU,1587842290.0
santa maria del oro,25.93,-105.37,84.25,7.0,45.0,6.38,MX,1587842290.0
healdsburg,38.61,-122.87,78.24,37.0,40.0,5.82,US,1587842257.0
matagami,49.75,-77.63,39.2,27.0,75.0,10.29,CA,1587842291.0
nohar,29.18,74.77,85.08,35.0,42.0,3.44,IN,1587842291.0
quatre cocos,-20.21,57.76,76.14,94.0,40.0,3.36,MU,1587842291.0
sibolga,1.74,98.78,77.63,81.0,100.0,1.3,ID,1587842291.0
port lincoln,-34.73,135.87,62.24,85.0,71.0,12.57,AU,1587842292.0
olafsvik,64.89,-23.71,40.69,77.0,18.0,16.87,IS,1587842292.0
viedma,-40.81,-63.0,72.37,36.0,39.0,8.32,AR,1587842292.0
xai-xai,-25.05,33.64,73.78,80.0,1.0,9.22,MZ,1587842292.0
marsa matruh,31.35,27.25,62.6,67.0,40.0,11.41,EG,1587842292.0
sakakah,29.97,40.21,73.4,27.0,0.0,10.29,SA,1587842292.0
ishigaki,24.34,124.16,73.31,85.0,99.0,13.22,JP,1587842292.0
wenling,28.37,121.36,58.48,81.0,100.0,1.01,CN,1587842293.0
boguszow-gorce,50.76,16.2,45.0,82.0,51.0,4.72,PL,1587842293.0
evensk,61.95,159.23,24.89,89.0,69.0,5.73,RU,1587842293.0
abu kamal,34.45,40.92,65.14,58.0,64.0,16.53,SY,1587842293.0
inirida,3.87,-67.92,93.94,45.0,5.0,1.79,CO,1587842293.0
ardahan,41.11,42.7,37.42,49.0,100.0,1.23,TR,1587842294.0
coihaique,-45.58,-72.07,45.41,70.0,98.0,3.87,CL,1587842294.0
kalmunai,7.42,81.82,83.05,79.0,75.0,7.09,LK,1587842294.0
peruibe,-24.32,-47.0,77.7,71.0,14.0,5.82,BR,1587842143.0
victor harbor,-35.57,138.62,60.01,97.0,92.0,9.4,AU,1587842294.0
sobolevo,54.43,31.9,40.64,69.0,75.0,5.99,RU,1587842294.0
camana,-16.62,-72.71,74.41,57.0,3.0,9.24,PE,1587842294.0
nemuro,43.32,145.57,43.83,87.0,100.0,21.88,JP,1587842295.0
korla,41.76,86.15,64.44,18.0,0.0,2.19,CN,1587842295.0
biritiba-mirim,-23.57,-46.04,82.04,39.0,0.0,3.36,BR,1587842295.0
eagle pass,28.71,-100.5,84.2,48.0,5.0,9.17,US,1587842295.0
najran,17.49,44.13,87.8,29.0,40.0,5.82,SA,1587842295.0
san ramon,37.78,-121.98,75.45,34.0,1.0,4.7,US,1587842295.0
pringsewu,-5.36,104.97,74.62,90.0,100.0,0.27,ID,1587842296.0
soe,-9.86,124.28,66.61,81.0,88.0,4.29,ID,1587842296.0
novoagansk,61.94,76.66,32.85,85.0,75.0,9.42,RU,1587842296.0
antalaha,-14.9,50.28,77.27,87.0,25.0,9.89,MG,1587842296.0
olden,61.84,6.81,35.71,85.0,78.0,3.53,NO,1587842296.0
ust-nera,64.57,143.2,16.27,87.0,32.0,1.61,RU,1587842297.0
ugoofaaru,5.67,73.0,85.64,71.0,42.0,5.08,MV,1587842297.0
carlsbad,33.16,-117.35,83.26,65.0,1.0,8.05,US,1587842124.0
olinda,-8.01,-34.86,84.2,70.0,40.0,11.41,BR,1587842268.0
safford,32.83,-109.71,87.8,11.0,1.0,1.12,US,1587842297.0
coahuayana,18.73,-103.68,86.0,42.0,40.0,11.41,MX,1587842297.0
hudson bay,52.85,-102.38,46.98,72.0,93.0,3.4,CA,1587842297.0
navalmoral de la mata,39.89,-5.54,66.07,70.0,85.0,8.75,ES,1587842298.0
kamaishi,39.27,141.88,47.32,81.0,1.0,12.88,JP,1587842298.0
kovdor,67.57,30.48,28.38,95.0,100.0,14.58,RU,1587842298.0
calabozo,8.92,-67.43,96.46,33.0,14.0,6.55,VE,1587842298.0
guarapari,-20.67,-40.5,78.01,76.0,14.0,5.64,BR,1587842298.0
hay river,60.82,-115.8,14.0,85.0,90.0,8.05,CA,1587842134.0
san juan,-31.54,-68.54,74.12,29.0,0.0,9.66,AR,1587842299.0
san patricio,19.22,-104.7,78.8,78.0,40.0,9.17,MX,1587842299.0
merauke,-8.47,140.33,77.79,89.0,35.0,9.73,ID,1587842299.0
soyo,-6.13,12.37,81.45,85.0,93.0,8.55,AO,1587842299.0
nagaur,27.2,73.73,85.44,31.0,47.0,11.48,IN,1587842299.0
varberg,57.11,12.25,46.99,77.0,0.0,5.99,SE,1587842300.0
salalah,17.02,54.09,84.2,79.0,75.0,6.93,OM,1587842300.0
talcahuano,-36.72,-73.12,60.76,77.0,100.0,17.16,CL,1587842300.0
champerico,14.3,-91.92,93.2,56.0,75.0,9.17,GT,1587842300.0
drayton valley,53.22,-114.99,52.7,33.0,69.0,9.17,CA,1587842300.0
touba,8.28,-7.68,87.33,46.0,55.0,2.89,CI,1587842300.0
hovd,48.01,91.64,52.65,19.0,0.0,5.06,MN,1587842301.0
peniche,39.36,-9.38,57.58,77.0,12.0,5.99,PT,1587842301.0
sao lourenco do sul,-31.37,-51.98,89.55,24.0,96.0,4.7,BR,1587842301.0
chicama,-7.84,-79.15,71.6,78.0,1.0,13.87,PE,1587842301.0
ulladulla,-35.35,150.47,57.9,55.0,20.0,10.29,AU,1587842301.0
norden,53.6,7.2,46.29,100.0,0.0,1.99,DE,1587842302.0
calatrava,10.6,123.48,82.4,78.0,20.0,10.29,PH,1587842302.0
ayorou,14.73,0.92,101.32,14.0,33.0,1.81,NE,1587842302.0
awjilah,29.11,21.29,72.97,30.0,12.0,7.96,LY,1587842302.0
canar,-2.55,-78.93,71.6,53.0,75.0,8.05,EC,1587842302.0
warwick,41.7,-71.42,60.48,33.0,20.0,17.22,US,1587842302.0
cicevac,43.72,21.44,60.8,48.0,18.0,3.36,RS,1587842302.0
khromtau,50.25,58.43,43.95,48.0,0.0,7.23,KZ,1587842303.0
hirara,24.8,125.28,71.78,86.0,100.0,14.07,JP,1587842303.0
carutapera,-1.2,-46.02,79.99,77.0,66.0,1.66,BR,1587842303.0
vuktyl,63.86,57.31,25.95,95.0,87.0,8.23,RU,1587842303.0
bacolod,10.67,122.95,79.9,75.0,21.0,9.8,PH,1587842303.0
kinsale,51.71,-8.53,52.39,87.0,75.0,8.05,IE,1587842303.0
shahreza,32.03,51.88,66.31,20.0,1.0,14.56,IR,1587842304.0
yumen,40.28,97.2,51.15,14.0,0.0,6.22,CN,1587842304.0
sao joao da barra,-21.64,-41.05,80.62,58.0,75.0,9.17,BR,1587842304.0
portland,45.52,-122.68,57.9,87.0,90.0,6.8,US,1587841971.0
tselinnoye,53.08,85.67,48.15,74.0,100.0,8.59,RU,1587842304.0
matadi,-5.82,13.45,78.51,88.0,100.0,5.01,CD,1587842305.0
villarrica,-25.75,-56.43,90.95,42.0,23.0,6.55,PY,1587842305.0
atar,20.52,-13.05,95.0,20.0,0.0,9.17,MR,1587842305.0
garden city,42.33,-83.33,53.67,40.0,90.0,12.75,US,1587842305.0
ulundi,-28.34,31.42,64.33,74.0,91.0,5.61,ZA,1587842305.0
flinders,-34.58,150.86,60.58,84.0,30.0,1.01,AU,1587842306.0
caldwell,43.66,-116.69,66.18,39.0,1.0,6.93,US,1587842197.0
alyangula,-13.85,136.42,69.8,100.0,0.0,8.86,AU,1587842306.0
pederneiras,-22.35,-48.77,86.0,45.0,40.0,2.24,BR,1587842306.0
pisco,-13.7,-76.22,73.67,73.0,0.0,11.41,PE,1587842307.0
kavieng,-2.57,150.8,84.56,76.0,97.0,12.88,PG,1587842307.0
mino,34.83,135.47,50.32,92.0,29.0,1.01,JP,1587842307.0
garh maharaja,30.83,71.91,85.8,33.0,10.0,3.24,PK,1587842307.0
vila velha,-20.33,-40.29,78.28,74.0,40.0,10.29,BR,1587842307.0
pevek,69.7,170.31,16.77,97.0,100.0,5.73,RU,1587842307.0
itaituba,-4.28,-55.98,91.4,59.0,40.0,6.93,BR,1587842308.0
kidal,18.44,1.41,98.74,8.0,56.0,4.7,ML,1587842308.0
gunjur,13.2,-16.73,80.6,54.0,59.0,11.41,GM,1587842308.0
monrovia,6.3,-10.8,82.4,83.0,40.0,6.93,LR,1587842308.0
beringovskiy,63.05,179.32,19.33,97.0,98.0,6.4,RU,1587842308.0
neuquen,-38.95,-68.06,64.4,59.0,40.0,3.36,AR,1587842308.0
zhezkazgan,47.8,67.71,50.23,40.0,37.0,13.73,KZ,1587842308.0
shubarshi,48.59,57.19,47.73,45.0,0.0,8.99,KZ,1587842309.0
hofgeismar,51.48,9.4,50.29,43.0,48.0,4.7,DE,1587842309.0
newcastle,-32.93,151.78,57.6,100.0,8.0,10.89,AU,1587842166.0
kamennogorsk,60.95,29.13,35.33,47.0,87.0,5.82,RU,1587842309.0
campoverde,-8.48,-74.81,91.4,55.0,75.0,4.7,PE,1587842309.0
ukiah,39.15,-123.21,70.68,39.0,1.0,4.7,US,1587842309.0
prince rupert,54.32,-130.32,48.2,83.0,90.0,16.11,CA,1587842310.0
nsanje,-16.92,35.26,75.24,68.0,4.0,6.55,MW,1587842310.0
luwuk,-0.95,122.79,79.5,81.0,99.0,10.69,ID,1587842310.0
half moon bay,37.46,-122.43,74.1,49.0,20.0,8.05,US,1587842310.0
bellary,15.15,76.93,85.51,45.0,60.0,11.5,IN,1587842310.0
jasper,37.2,-94.35,64.9,52.0,40.0,19.46,US,1587842310.0
esso,55.93,158.7,21.27,87.0,100.0,0.54,RU,1587842311.0
deputatskiy,69.3,139.9,11.21,91.0,20.0,3.2,RU,1587842311.0
ayan,56.45,138.17,27.79,95.0,98.0,5.97,RU,1587842311.0
juba,4.85,31.58,88.43,32.0,66.0,1.48,SS,1587842311.0
souillac,-20.52,57.52,75.2,94.0,40.0,3.36,MU,1587842311.0
mattru,7.62,-11.83,84.45,71.0,83.0,7.2,SL,1587842311.0
kysyl-syr,63.9,122.76,30.22,96.0,85.0,5.41,RU,1587842312.0
cururupu,-1.83,-44.87,85.41,67.0,81.0,1.1,BR,1587842312.0
laurencekirk,56.83,-2.47,46.13,81.0,75.0,14.99,GB,1587842054.0
roebourne,-20.78,117.13,88.81,41.0,55.0,15.14,AU,1587842312.0
ginir,7.13,40.7,59.83,55.0,47.0,2.91,ET,1587842312.0
poum,-20.23,164.02,75.65,72.0,100.0,15.7,NC,1587842312.0
roma,43.21,-75.46,60.78,27.0,1.0,4.7,US,1587842044.0
oranjestad,12.52,-70.03,87.8,62.0,40.0,24.16,AW,1587842313.0
loralai,30.37,68.6,72.57,21.0,16.0,7.7,PK,1587842313.0
gat,31.61,34.76,60.71,73.0,46.0,13.89,IL,1587842313.0
vestmannaeyjar,63.44,-20.27,44.6,81.0,40.0,10.29,IS,1587842314.0
zgorzelec,51.15,15.01,48.99,74.0,64.0,5.57,PL,1587842314.0
mikuni,36.22,136.15,62.6,36.0,20.0,17.22,JP,1587842314.0
nizhnetroitskiy,54.34,53.68,48.49,79.0,100.0,15.41,RU,1587842314.0
canton,23.12,113.25,70.43,99.0,95.0,4.0,CN,1587842314.0
buyabod,13.47,122.05,80.04,82.0,15.0,6.71,PH,1587842315.0
port-cartier,50.03,-66.87,42.8,28.0,20.0,20.8,CA,1587842315.0
sibanicu,21.23,-77.53,95.67,35.0,41.0,6.2,CU,1587842315.0
pilibhit,28.63,79.8,78.39,38.0,65.0,6.38,IN,1587842315.0
sidi ali,36.1,0.42,59.99,83.0,64.0,16.73,DZ,1587842315.0
fare,-16.7,-151.02,82.06,75.0,16.0,10.16,PF,1587842315.0
mana,5.66,-53.78,83.5,72.0,25.0,9.04,GF,1587842316.0
kaluga,54.5,35.5,39.2,93.0,40.0,2.24,RU,1587842316.0
tessalit,20.2,1.01,98.89,8.0,58.0,15.05,ML,1587842316.0
ranong,9.97,98.63,81.84,78.0,2.0,5.59,TH,1587842316.0
boyolangu,-8.12,111.89,77.7,83.0,98.0,4.7,ID,1587842316.0
tombouctou,20.0,-3.0,98.89,12.0,37.0,13.53,ML,1587842316.0
zlobin,45.29,14.65,56.46,74.0,56.0,3.09,HR,1587842317.0
samarai,-10.62,150.67,79.68,83.0,47.0,2.39,PG,1587842317.0
saint-augustin,51.23,-58.65,35.46,83.0,19.0,12.57,CA,1587842317.0
sioux lookout,50.1,-91.92,50.0,31.0,20.0,3.36,CA,1587842317.0
ambulu,-8.35,113.61,80.26,76.0,99.0,6.89,ID,1587842317.0
shache,38.42,77.24,68.56,17.0,43.0,4.47,CN,1587842317.0
cuenca,-2.88,-78.98,71.6,53.0,75.0,8.05,EC,1587842318.0
concepcion,-36.83,-73.05,62.85,70.0,100.0,14.85,CL,1587842142.0
vojens,55.25,9.31,46.29,75.0,27.0,8.05,DK,1587842318.0
vicksburg,32.35,-90.88,72.48,60.0,75.0,9.17,US,1587842241.0
dubbo,-32.25,148.62,46.4,100.0,15.0,5.82,AU,1587842318.0
dorverden,52.85,9.23,51.75,66.0,44.0,10.29,DE,1587842318.0
broken hill,-31.95,141.43,73.4,27.0,90.0,17.22,AU,1587842318.0
high rock,26.62,-78.28,84.2,79.0,75.0,12.75,BS,1587842319.0
mount darwin,-16.77,31.58,67.23,38.0,34.0,1.12,ZW,1587842319.0
japura,-0.32,102.35,75.9,94.0,94.0,0.89,ID,1587842319.0
moose factory,51.26,-80.61,33.8,59.0,75.0,13.87,CA,1587842319.0
port macquarie,-31.43,152.92,55.26,100.0,90.0,4.7,AU,1587842319.0
dovbysh,50.37,27.99,50.77,81.0,100.0,10.89,UA,1587842319.0
barkhan,29.9,69.53,75.61,24.0,41.0,4.07,PK,1587842320.0
pedasi,7.53,-80.03,83.08,73.0,74.0,8.59,PA,1587842320.0
meulaboh,4.14,96.13,78.75,86.0,100.0,8.16,ID,1587842320.0
comodoro rivadavia,-45.87,-67.5,50.0,71.0,75.0,10.29,AR,1587842320.0
acapulco,16.86,-99.89,80.6,74.0,20.0,8.05,MX,1587842028.0
bardiyah,31.76,25.09,62.53,71.0,2.0,11.32,LY,1587842320.0
sur,22.57,59.53,86.09,41.0,0.0,7.0,OM,1587842321.0
junction city,39.03,-96.83,65.75,59.0,40.0,8.05,US,1587842321.0
aksha,50.28,113.29,38.84,47.0,0.0,2.8,RU,1587842321.0
henties bay,-22.12,14.28,57.99,95.0,12.0,7.14,NA,1587842321.0
sao sepe,-30.16,-53.57,93.2,34.0,20.0,8.05,BR,1587842322.0
