city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lebu,-37.62,-73.65,58.87,85.0,100.0,15.55,CL,1587842223.0
nikolskoye,59.7,30.79,35.85,55.0,66.0,4.47,RU,1587842223.0
clyde river,70.47,-68.59,17.6,78.0,75.0,10.29,CA,1587842223.0
palana,59.12,159.97,18.21,91.0,0.0,4.32,RU,1587842224.0
new norfolk,-42.78,147.06,57.15,77.0,98.0,1.01,AU,1587842224.0
tiznit,29.58,-9.5,56.97,64.0,86.0,14.54,MA,1587842224.0
mar del plata,-38.0,-57.56,62.37,72.0,100.0,16.11,AR,1587842224.0
menongue,-14.66,17.69,66.13,38.0,19.0,1.77,AO,1587842225.0
makakilo city,21.35,-158.09,76.35,73.0,75.0,4.7,US,1587842225.0
nabire,-3.37,135.48,77.13,88.0,100.0,2.35,ID,1587841940.0
general pico,-35.66,-63.76,65.48,66.0,95.0,8.5,AR,1587842225.0
codrington,-38.27,141.97,59.59,87.0,100.0,18.61,AU,1587842226.0
chokurdakh,70.63,147.92,15.26,97.0,42.0,7.56,RU,1587842226.0
rio grande,-32.03,-52.1,89.37,24.0,100.0,4.7,BR,1587842227.0
port hedland,-20.32,118.57,86.0,37.0,60.0,6.93,AU,1587842227.0
lompoc,34.64,-120.46,80.96,47.0,1.0,9.17,US,1587842145.0
cape town,-33.93,18.42,65.89,82.0,0.0,10.29,ZA,1587842100.0
fortuna,40.6,-124.16,61.86,82.0,20.0,13.87,US,1587841994.0
bambous virieux,-20.34,57.76,76.05,94.0,40.0,3.36,MU,1587842228.0
muswellbrook,-32.27,150.9,50.0,78.0,5.0,3.6,AU,1587842228.0
inawashiro,37.57,140.12,42.15,85.0,0.0,2.24,JP,1587842228.0
jamestown,42.1,-79.24,60.8,44.0,20.0,5.82,US,1587842229.0
avarua,-21.21,-159.78,78.8,83.0,48.0,2.24,CK,1587842229.0
port angeles,48.12,-123.43,55.6,71.0,40.0,12.75,US,1587842229.0
buala,-8.14,159.59,82.09,78.0,36.0,6.53,SB,1587842230.0
naze,28.37,129.48,57.2,87.0,96.0,2.24,JP,1587842230.0
inta,66.03,60.17,26.78,93.0,100.0,11.48,RU,1587842230.0
azua,18.45,-70.73,86.0,62.0,75.0,20.8,DO,1587842231.0
ixtapa,20.7,-105.2,78.8,54.0,75.0,10.29,MX,1587842231.0
nadym,65.53,72.52,23.54,93.0,49.0,12.37,RU,1587842232.0
umba,66.69,34.34,31.96,95.0,94.0,11.7,RU,1587842232.0
laguna,38.42,-121.42,80.6,34.0,1.0,6.93,US,1587842233.0
novo oriente,-5.53,-40.77,83.61,61.0,47.0,7.38,BR,1587842233.0
smidovich,48.6,133.82,34.25,85.0,86.0,4.32,RU,1587842234.0
kashi,39.45,75.98,66.2,39.0,100.0,11.18,CN,1587842234.0
rio gallegos,-51.62,-69.22,46.4,75.0,40.0,16.11,AR,1587842234.0
lagoa,39.05,-27.98,58.17,73.0,40.0,24.58,PT,1587842234.0
aklavik,68.22,-135.01,3.2,65.0,20.0,5.82,CA,1587842235.0
grindavik,63.84,-22.43,50.0,57.0,75.0,3.36,IS,1587842235.0
pareora,-44.49,171.21,44.01,90.0,46.0,9.01,NZ,1587842236.0
yulara,-25.24,130.99,77.0,38.0,53.0,19.46,AU,1587842236.0
longyearbyen,78.22,15.64,23.0,49.0,0.0,3.36,SJ,1587842236.0
sao filipe,14.9,-24.5,71.2,76.0,27.0,20.13,CV,1587842237.0
tabory,58.52,64.55,44.17,76.0,100.0,13.82,RU,1587842237.0
mount isa,-20.73,139.5,73.4,43.0,2.0,6.93,AU,1587841960.0
vardo,70.37,31.11,33.01,92.0,100.0,28.9,NO,1587842237.0
mikhaylovskoye,51.82,79.72,44.01,56.0,100.0,2.98,RU,1587842238.0
torbay,47.67,-52.73,37.02,86.0,75.0,19.46,CA,1587842238.0
katsuura,35.13,140.3,60.4,59.0,20.0,32.21,JP,1587842238.0
oktyabrskiy,54.48,53.47,48.65,80.0,100.0,14.2,RU,1587842238.0
komsomolskiy,40.43,71.72,66.2,63.0,92.0,2.24,UZ,1587842239.0
kloulklubed,7.04,134.26,77.0,94.0,75.0,6.93,PW,1587842239.0
reconquista,-29.15,-59.65,94.42,29.0,76.0,9.24,AR,1587842239.0
noumea,-22.28,166.46,66.2,77.0,75.0,10.45,NC,1587842215.0
saldanha,-33.01,17.94,66.2,59.0,0.0,5.82,ZA,1587841955.0
yaan,7.38,8.57,90.5,49.0,74.0,4.47,NG,1587842239.0
dikson,73.51,80.55,18.01,98.0,98.0,10.71,RU,1587842240.0
anadyr,64.75,177.48,17.26,92.0,90.0,11.18,RU,1587842240.0
cherskiy,68.75,161.3,11.62,95.0,93.0,5.32,RU,1587842240.0
dalvik,65.97,-18.53,41.0,65.0,75.0,18.34,IS,1587842240.0
bandarbeyla,9.49,50.81,83.79,72.0,50.0,11.83,SO,1587842241.0
yingcheng,30.95,113.55,60.8,87.0,100.0,2.24,CN,1587842241.0
hilo,19.73,-155.09,74.35,65.0,1.0,5.82,US,1587842241.0
kruisfontein,-34.0,24.73,59.23,87.0,23.0,11.25,ZA,1587842241.0
eureka,40.8,-124.16,62.02,82.0,20.0,13.87,US,1587842157.0
ritchie,-29.04,24.6,57.2,93.0,91.0,4.61,ZA,1587842242.0
asau,46.43,26.4,52.0,68.0,81.0,11.16,RO,1587842242.0
